anime_id,name,genre,type,episodes,rating,members,profile
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1.0,9.37,200630,"Drama, Romance, School, Supernatural Movie Kimi no Na wa."
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64.0,9.26,793665,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen TV Fullmetal Alchemist: Brotherhood"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.25,114262,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Gintama°"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24.0,9.17,673572,"Sci-Fi, Thriller TV Steins;Gate"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.16,151266,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Gintama&#039;"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10.0,9.15,93351,"Comedy, Drama, School, Shounen, Sports TV Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148.0,9.13,425855,"Action, Adventure, Shounen, Super Power TV Hunter x Hunter (2011)"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110.0,9.11,80679,"Drama, Military, Sci-Fi, Space OVA Ginga Eiyuu Densetsu"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,9.1,72534,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,9.11,81109,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Gintama&#039;: Enchousen"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,9.06,456749,"Drama, Fantasy, Romance, Slice of Life, Supernatural TV Clannad: After Story"
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1.0,9.05,102733,"Drama, School, Shounen Movie Koe no Katachi"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,9.04,336376,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen TV Gintama"
